,Country,LOCATION,TIME,Value,MEASURE,SUBJECT,INDICATOR
1610,Dnstria,DNK,2002,22.98721266,PC_GDP,Social Protection,GGEXP
5352,Australia,AUS,2002,4.0622503,PC_GDP,Gen Pub Services,GGEXP
1484,Prstria,PRT,2002,5.088630706,PC_GDP,Economic Affairs,GGEXP
5855,Ltstria,LTU,2002,5.071119134,PC_GDP,Health,GGEXP
4494,Lustria,LUX,2002,0.257464611,PC_GDP,Defence,GGEXP
3527,Esstria,ESP,2002,0.949900741,PC_GDP,ENVPROT,GGEXP
3287,Postria,POL,2002,18.542889499999998,PC_GDP,Social Protection,GGEXP
4008,Austria,AUT,2002,0.783627705,PC_GDP,Defence,GGEXP
4841,Lustria,LUX,2002,1.14055906,PC_GDP,ENVPROT,GGEXP
2086,Esstria,EST,2002,2.662463347,PC_GDP,Pub Order & Safety,GGEXP
4476,Svstria,SVK,2002,3.456033432,PC_GDP,Education,GGEXP
5337,Australia,AUS,2002,0.600654215,PC_GDP,ENVPROT,GGEXP
5873,Ltstria,LTU,2002,0.408231274,PC_GDP,Housing,GGEXP
3799,Swstria,SWE,2002,0.648705222,PC_GDP,Housing,GGEXP
2104,Frstria,FRA,2002,5.780975155,PC_GDP,Education,GGEXP
2565,Svstria,SVK,2002,1.449068431,PC_GDP,Defence,GGEXP
4858,Lustria,LUX,2002,4.2493416239999995,PC_GDP,Health,GGEXP
3262,Hustria,HUN,2002,7.732097638,PC_GDP,Economic Affairs,GGEXP
1178,Esstria,EST,2002,3.35874095,PC_GDP,Gen Pub Services,GGEXP
5837,Ltstria,LTU,2002,4.457785523,PC_GDP,Gen Pub Services,GGEXP
1196,Destria,DEU,2002,1.019553073,PC_GDP,Housing,GGEXP
2914,Bestria,BEL,2002,1.188958775,PC_GDP,Defence,GGEXP
3498,Frstria,FRA,2002,7.692956861,PC_GDP,Gen Pub Services,GGEXP
4529,Bestria,BEL,2002,10.5305686,PC_GDP,Gen Pub Services,GGEXP
2068,Postria,POL,2002,1.113964901,PC_GDP,RECULTREL,GGEXP
1466,Usstria,USA,2002,0.589051187,PC_GDP,Housing,GGEXP
1214,Austria,AUT,2002,5.174621746000001,PC_GDP,Education,GGEXP
3990,Isstria,ISR,2002,5.3554749930000005,PC_GDP,Health,GGEXP
4823,Hustria,HUN,2002,0.9257760429999999,PC_GDP,Housing,GGEXP
1868,Itstria,ITA,2002,1.146224624,PC_GDP,Defence,GGEXP
5367,Australia,AUS,2002,5.873202157000001,PC_GDP,Health,GGEXP
3305,Isstria,ISR,2002,7.4721661070000005,PC_GDP,Education,GGEXP
4511,Usstria,USA,2002,6.9706991810000005,PC_GDP,Health,GGEXP
2896,Irstria,IRL,2002,11.20692067,PC_GDP,Social Protection,GGEXP
3817,Gbstria,GBR,2002,2.1794875030000003,PC_GDP,Economic Affairs,GGEXP
2439,Esstria,ESP,2002,12.62140585,PC_GDP,Social Protection,GGEXP
858,Gbstria,GBR,2002,13.90633806,PC_GDP,Social Protection,GGEXP
5819,Ltstria,LTU,2002,0.104064111,PC_GDP,ENVPROT,GGEXP
1502,Hustria,HUN,2002,5.6625849729999995,PC_GDP,Education,GGEXP
1160,Grstria,GRC,2002,0.568332104,PC_GDP,RECULTREL,GGEXP
482,Czstria,CZE,2002,1.378035265,PC_GDP,RECULTREL,GGEXP
3563,Nostria,NOR,2002,7.872706797,PC_GDP,Health,GGEXP
1124,Nlstria,NLD,2002,0.741114705,PC_GDP,Housing,GGEXP
2932,Nostria,NOR,2002,0.31543356699999997,PC_GDP,Housing,GGEXP
2140,Austria,AUT,2002,1.427409469,PC_GDP,Pub Order & Safety,GGEXP
5292,Australia,AUS,2002,1.589342789,PC_GDP,Defence,GGEXP
3781,Chstria,CHE,2002,6.910053766,PC_GDP,Gen Pub Services,GGEXP
4422,Chstria,CHE,2002,1.579390321,PC_GDP,Pub Order & Safety,GGEXP
1538,Svstria,SVK,2002,7.901900642,PC_GDP,Gen Pub Services,GGEXP
2403,Svstria,SVK,2002,0.719511378,PC_GDP,Housing,GGEXP
4893,Nostria,NOR,2002,5.553719157000001,PC_GDP,Gen Pub Services,GGEXP
2720,Esstria,ESP,2002,5.803333191,PC_GDP,Gen Pub Services,GGEXP
1106,Hustria,HUN,2002,15.23389176,PC_GDP,Social Protection,GGEXP
3227,Prstria,PRT,2002,6.057735362000001,PC_GDP,Gen Pub Services,GGEXP
4393,Svstria,SVK,2002,3.118793448,PC_GDP,Pub Order & Safety,GGEXP
2158,Irstria,IRL,2002,0.654005011,PC_GDP,RECULTREL,GGEXP
532,Dnstria,DNK,2002,0.92989218,PC_GDP,Pub Order & Safety,GGEXP
5274,Frstria,FRA,2002,7.286112043999999,PC_GDP,Health,GGEXP
3065,Isstria,ISR,2002,12.34171039,PC_GDP,Social Protection,GGEXP
5307,Australia,AUS,2002,4.1245505389999995,PC_GDP,Economic Affairs,GGEXP
4026,Chstria,CHE,2002,5.570469362000001,PC_GDP,Education,GGEXP
2738,Nlstria,NLD,2002,4.950742013,PC_GDP,Education,GGEXP
5891,Ltstria,LTU,2002,1.9062413919999999,PC_GDP,Pub Order & Safety,GGEXP
1839,Prstria,PRT,2002,0.919123688,PC_GDP,Housing,GGEXP
4458,Nostria,NOR,2002,5.766399791,PC_GDP,Education,GGEXP
5322,Australia,AUS,2002,5.0961346380000005,PC_GDP,Education,GGEXP
3545,Isstria,ISR,2002,1.6400137959999999,PC_GDP,Pub Order & Safety,GGEXP
2421,Czstria,CZE,2002,13.25876962,PC_GDP,Social Protection,GGEXP
5909,Ltstria,LTU,2002,0.906186598,PC_GDP,RECULTREL,GGEXP
5801,Ltstria,LTU,2002,6.048414016000001,PC_GDP,Education,GGEXP
2122,Czstria,CZE,2002,4.928208219,PC_GDP,Education,GGEXP
1142,Destria,DEU,2002,1.210989391,PC_GDP,RECULTREL,GGEXP
4875,Itstria,ITA,2002,4.438756153,PC_GDP,Education,GGEXP
1520,Esstria,EST,2002,9.834761443,PC_GDP,Social Protection,GGEXP
4440,Gbstria,GBR,2002,0.6999826140000001,PC_GDP,Housing,GGEXP
3245,Lustria,LUX,2002,1.1714819109999999,PC_GDP,RECULTREL,GGEXP
5927,Ltstria,LTU,2002,10.51626389,PC_GDP,Social Protection,GGEXP
2511,Nlstria,NLD,2002,15.13238895,PC_GDP,Social Protection,GGEXP
841,Lustria,LUX,2002,5.838720358,PC_GDP,Economic Affairs,GGEXP
3083,Austria,AUT,2002,4.948979695,PC_GDP,Economic Affairs,GGEXP
5382,Australia,AUS,2002,0.772947463,PC_GDP,Housing,GGEXP
3972,Gbstria,GBR,2002,0.668317934,PC_GDP,ENVPROT,GGEXP
5457,Lvstria,LVA,2002,1.09525236,PC_GDP,Defence,GGEXP
876,Svstria,SVN,2002,1.310565413,PC_GDP,RECULTREL,GGEXP
1322,Svstria,SVN,2002,5.944213772,PC_GDP,Gen Pub Services,GGEXP
4636,Irstria,IRL,2002,1.4510014469999999,PC_GDP,Pub Order & Safety,GGEXP
1394,Postria,POL,2002,3.439844662,PC_GDP,Economic Affairs,GGEXP
3388,Esstria,ESP,2002,5.117723654,PC_GDP,Health,GGEXP
5565,Lvstria,LVA,2002,1.3361100559999999,PC_GDP,Housing,GGEXP
1983,Prstria,PRT,2002,1.3423028959999999,PC_GDP,Defence,GGEXP
1929,Irstria,IRL,2002,1.293454186,PC_GDP,Housing,GGEXP
4733,Prstria,PRT,2002,6.551617471,PC_GDP,Education,GGEXP
4619,Lustria,LUX,2002,1.029699047,PC_GDP,Housing,GGEXP
1304,Destria,DEU,2002,6.696222226000001,PC_GDP,Health,GGEXP
2001,Lustria,LUX,2002,4.684931418,PC_GDP,Education,GGEXP
3853,Irstria,IRL,2002,3.7111206119999998,PC_GDP,Gen Pub Services,GGEXP
5583,Lvstria,LVA,2002,2.272699347,PC_GDP,Pub Order & Safety,GGEXP
5076,Postria,POL,2002,1.982684816,PC_GDP,Pub Order & Safety,GGEXP
3936,Nostria,NOR,2002,1.9931762830000002,PC_GDP,Defence,GGEXP
2842,Postria,POL,2002,4.432420696,PC_GDP,Health,GGEXP
5547,Lvstria,LVA,2002,3.626942325,PC_GDP,Health,GGEXP
3444,Esstria,ESP,2002,1.038353577,PC_GDP,Housing,GGEXP
4697,Hustria,HUN,2002,1.793260804,PC_GDP,RECULTREL,GGEXP
1947,Dnstria,DNK,2002,3.5400287639999997,PC_GDP,Economic Affairs,GGEXP
1358,Isstria,ISR,2002,8.839796627,PC_GDP,Defence,GGEXP
5493,Lvstria,LVA,2002,5.702326847999999,PC_GDP,Education,GGEXP
5511,Lvstria,LVA,2002,0.302175605,PC_GDP,ENVPROT,GGEXP
2806,Irstria,IRL,2002,0.44676637399999997,PC_GDP,Defence,GGEXP
4679,Itstria,ITA,2002,1.898302614,PC_GDP,Pub Order & Safety,GGEXP
3907,Swstria,SWE,2002,6.505476063,PC_GDP,Health,GGEXP
1965,Esstria,ESP,2002,1.309315431,PC_GDP,RECULTREL,GGEXP
2493,Grstria,GRC,2002,11.03445226,PC_GDP,Gen Pub Services,GGEXP
2824,Isstria,ISR,2002,3.038515382,PC_GDP,Economic Affairs,GGEXP
1376,Grstria,GRC,2002,0.48819054799999995,PC_GDP,ENVPROT,GGEXP
4715,Austria,AUT,2002,1.382127576,PC_GDP,RECULTREL,GGEXP
1340,Usstria,USA,2002,0.330391541,PC_GDP,RECULTREL,GGEXP
5529,Lvstria,LVA,2002,3.745164206,PC_GDP,Gen Pub Services,GGEXP
3871,Frstria,FRA,2002,20.6949237,PC_GDP,Social Protection,GGEXP
5475,Lvstria,LVA,2002,4.4292048369999995,PC_GDP,Economic Affairs,GGEXP
4654,Frstria,FRA,2002,1.277530515,PC_GDP,RECULTREL,GGEXP
3406,Lustria,LUX,2002,16.82529837,PC_GDP,Social Protection,GGEXP
2788,Czstria,CZE,2002,4.238556647,PC_GDP,Gen Pub Services,GGEXP
2475,Irstria,IRL,2002,5.828594046,PC_GDP,Health,GGEXP
4565,Gbstria,GBR,2002,0.902149419,PC_GDP,RECULTREL,GGEXP
3341,Isstria,ISR,2002,9.892265032000001,PC_GDP,Gen Pub Services,GGEXP
3835,Fistria,FIN,2002,4.914941476,PC_GDP,Economic Affairs,GGEXP
4787,Bestria,BEL,2002,1.716010523,PC_GDP,Pub Order & Safety,GGEXP
1250,Nlstria,NLD,2002,5.166052397,PC_GDP,Health,GGEXP
5397,Australia,AUS,2002,1.6319166999999999,PC_GDP,Pub Order & Safety,GGEXP
5765,Ltstria,LTU,2002,1.488866685,PC_GDP,Defence,GGEXP
4547,Hustria,HUN,2002,1.407309305,PC_GDP,Defence,GGEXP
5412,Australia,AUS,2002,0.7975429479999999,PC_GDP,RECULTREL,GGEXP
1886,Swstria,SWE,2002,4.003354998,PC_GDP,Economic Affairs,GGEXP
1448,Itstria,ITA,2002,4.350565658,PC_GDP,Economic Affairs,GGEXP
5783,Ltstria,LTU,2002,4.239790286,PC_GDP,Economic Affairs,GGEXP
3323,Czstria,CZE,2002,8.282232839,PC_GDP,Economic Affairs,GGEXP
2770,Svstria,SVK,2002,0.9852797390000001,PC_GDP,ENVPROT,GGEXP
2457,Chstria,CHE,2002,0.186462735,PC_GDP,Housing,GGEXP
2547,Postria,POL,2002,1.646151455,PC_GDP,Defence,GGEXP
1232,Nlstria,NLD,2002,1.5313177830000002,PC_GDP,ENVPROT,GGEXP
2878,Grstria,GRC,2002,1.504948304,PC_GDP,Pub Order & Safety,GGEXP
4805,Destria,DEU,2002,20.60756465,PC_GDP,Social Protection,GGEXP
2050,Usstria,USA,2002,2.172489201,PC_GDP,Pub Order & Safety,GGEXP
3480,Itstria,ITA,2002,0.710160103,PC_GDP,RECULTREL,GGEXP
4769,Swstria,SWE,2002,8.911568628,PC_GDP,Gen Pub Services,GGEXP
5601,Lvstria,LVA,2002,1.324896276,PC_GDP,RECULTREL,GGEXP
1412,Destria,DEU,2002,0.618756028,PC_GDP,ENVPROT,GGEXP
4601,Dnstria,DNK,2002,1.470568395,PC_GDP,Defence,GGEXP
2529,Chstria,CHE,2002,1.8146133230000001,PC_GDP,Health,GGEXP
1286,Dnstria,DNK,2002,7.816795346,PC_GDP,Gen Pub Services,GGEXP
3370,Swstria,SWE,2002,0.43652133,PC_GDP,ENVPROT,GGEXP
3462,Bestria,BEL,2002,1.229616634,PC_GDP,RECULTREL,GGEXP
3954,Dnstria,DNK,2002,1.5858653809999999,PC_GDP,RECULTREL,GGEXP
5427,Australia,AUS,2002,9.709473632,PC_GDP,Social Protection,GGEXP
4583,Svstria,SVN,2002,17.71076578,PC_GDP,Social Protection,GGEXP
5619,Lvstria,LVA,2002,11.26889537,PC_GDP,Social Protection,GGEXP
1911,Czstria,CZE,2002,2.013839272,PC_GDP,Pub Order & Safety,GGEXP
4751,Bestria,BEL,2002,17.10224738,PC_GDP,Social Protection,GGEXP
2032,Irstria,IRL,2002,0.7973053520000001,PC_GDP,ENVPROT,GGEXP
1268,Czstria,CZE,2002,0.7452145029999999,PC_GDP,Housing,GGEXP
2860,Itstria,ITA,2002,16.24332933,PC_GDP,Social Protection,GGEXP
