Country,LOCATION,TIME,Value,MEASURE,SUBJECT,INDICATOR
Austria,AUT,2001,51.35570521,PC_GDP,Total,GGEXP
Austria,AUT,2002,51.05430466,PC_GDP,Total,GGEXP
Austria,AUT,2003,51.27099057,PC_GDP,Total,GGEXP
Austria,AUT,2004,53.70511428,PC_GDP,Total,GGEXP
Austria,AUT,2005,51.15552284,PC_GDP,Total,GGEXP
Austria,AUT,2006,50.37993357,PC_GDP,Total,GGEXP
Austria,AUT,2007,49.24411214,PC_GDP,Total,GGEXP
Austria,AUT,2008,49.87398468,PC_GDP,Total,GGEXP
Austria,AUT,2009,54.14480051,PC_GDP,Total,GGEXP
Austria,AUT,2010,52.83978554,PC_GDP,Total,GGEXP
Austria,AUT,2011,50.89691485,PC_GDP,Total,GGEXP
Austria,AUT,2012,51.21302781,PC_GDP,Total,GGEXP
Austria,AUT,2013,51.64766654,PC_GDP,Total,GGEXP
Austria,AUT,2014,52.43092017,PC_GDP,Total,GGEXP
Austria,AUT,2015,51.13145604,PC_GDP,Total,GGEXP
Austria,AUT,2016,50.1145187,PC_GDP,Total,GGEXP
Austria,AUT,2017,49.10765521,PC_GDP,Total,GGEXP
Austria,AUT,2018,48.64964771,PC_GDP,Total,GGEXP
Belgium,BEL,2001,49.37948035,PC_GDP,Total,GGEXP
Belgium,BEL,2002,49.90347875,PC_GDP,Total,GGEXP
Belgium,BEL,2003,51.04736768,PC_GDP,Total,GGEXP
Belgium,BEL,2004,49.31892998,PC_GDP,Total,GGEXP
Belgium,BEL,2005,51.86193546,PC_GDP,Total,GGEXP
Belgium,BEL,2006,48.78950274,PC_GDP,Total,GGEXP
Belgium,BEL,2007,48.5631029,PC_GDP,Total,GGEXP
Belgium,BEL,2008,50.77549496,PC_GDP,Total,GGEXP
Belgium,BEL,2009,54.68071375,PC_GDP,Total,GGEXP
Belgium,BEL,2010,53.87821395,PC_GDP,Total,GGEXP
Belgium,BEL,2011,55.30449682,PC_GDP,Total,GGEXP
Belgium,BEL,2012,56.47759939,PC_GDP,Total,GGEXP
Belgium,BEL,2013,56.11639686,PC_GDP,Total,GGEXP
Belgium,BEL,2014,55.59989211,PC_GDP,Total,GGEXP
Belgium,BEL,2015,53.71954594,PC_GDP,Total,GGEXP
Belgium,BEL,2016,53.10330293,PC_GDP,Total,GGEXP
Belgium,BEL,2017,51.90979398,PC_GDP,Total,GGEXP
Belgium,BEL,2018,52.11513293,PC_GDP,Total,GGEXP
Czstria,CZE,2001,43.20367993,PC_GDP,Total,GGEXP
Czstria,CZE,2002,44.81277157,PC_GDP,Total,GGEXP
Czstria,CZE,2003,49.34507124,PC_GDP,Total,GGEXP
Czstria,CZE,2004,42.55493325,PC_GDP,Total,GGEXP
Czstria,CZE,2005,42.27311389,PC_GDP,Total,GGEXP
Czstria,CZE,2006,41.35654826,PC_GDP,Total,GGEXP
Czstria,CZE,2007,40.37431672,PC_GDP,Total,GGEXP
Czstria,CZE,2008,40.63696458,PC_GDP,Total,GGEXP
Czstria,CZE,2009,44.19980211,PC_GDP,Total,GGEXP
Czstria,CZE,2010,43.51436379,PC_GDP,Total,GGEXP
Czstria,CZE,2011,43.03474058,PC_GDP,Total,GGEXP
Czstria,CZE,2012,44.4796833,PC_GDP,Total,GGEXP
Czstria,CZE,2013,42.60257366,PC_GDP,Total,GGEXP
Czstria,CZE,2014,42.43401798,PC_GDP,Total,GGEXP
Czstria,CZE,2015,41.69887917,PC_GDP,Total,GGEXP
Czstria,CZE,2016,39.48257022,PC_GDP,Total,GGEXP
Czstria,CZE,2017,38.94392748,PC_GDP,Total,GGEXP
Czstria,CZE,2018,40.69097799,PC_GDP,Total,GGEXP
Dnstria,DNK,2001,52.83741503,PC_GDP,Total,GGEXP
Dnstria,DNK,2002,53.21431027,PC_GDP,Total,GGEXP
Dnstria,DNK,2003,53.63934817,PC_GDP,Total,GGEXP
Dnstria,DNK,2004,52.99738228,PC_GDP,Total,GGEXP
Dnstria,DNK,2005,51.24149505,PC_GDP,Total,GGEXP
Dnstria,DNK,2006,49.8297467,PC_GDP,Total,GGEXP
Dnstria,DNK,2007,49.59141575,PC_GDP,Total,GGEXP
Dnstria,DNK,2008,50.41077811,PC_GDP,Total,GGEXP
Dnstria,DNK,2009,56.53632015,PC_GDP,Total,GGEXP
Dnstria,DNK,2010,56.67322829,PC_GDP,Total,GGEXP
Dnstria,DNK,2011,56.42932351,PC_GDP,Total,GGEXP
Dnstria,DNK,2012,57.95491787,PC_GDP,Total,GGEXP
Dnstria,DNK,2013,55.82037725,PC_GDP,Total,GGEXP
Dnstria,DNK,2014,55.21771306,PC_GDP,Total,GGEXP
Dnstria,DNK,2015,54.5276409,PC_GDP,Total,GGEXP
Dnstria,DNK,2016,52.47863589,PC_GDP,Total,GGEXP
Dnstria,DNK,2017,51.23999026,PC_GDP,Total,GGEXP
Dnstria,DNK,2018,50.94271483,PC_GDP,Total,GGEXP
