LOCATION,INDICATOR,SUBJECT,MEASURE,TIME,Value
AUT,GGEXP,TOT,PC_GDP,2001,51.355705210491294
AUT,GGEXP,TOT,PC_GDP,2002,51.054304664268706
AUT,GGEXP,TOT,PC_GDP,2003,51.2709905691504
AUT,GGEXP,TOT,PC_GDP,2004,53.7051142847075
AUT,GGEXP,TOT,PC_GDP,2005,51.1555228390606
AUT,GGEXP,TOT,PC_GDP,2006,50.3799335721589
AUT,GGEXP,TOT,PC_GDP,2007,49.244112140107205
AUT,GGEXP,TOT,PC_GDP,2008,49.8739846837189
AUT,GGEXP,TOT,PC_GDP,2009,54.1448005065337
AUT,GGEXP,TOT,PC_GDP,2010,52.839785541329604
AUT,GGEXP,TOT,PC_GDP,2011,50.896914848179506
AUT,GGEXP,TOT,PC_GDP,2012,51.213027812319005
AUT,GGEXP,TOT,PC_GDP,2013,51.64766654461639
AUT,GGEXP,TOT,PC_GDP,2014,52.4309201666404
AUT,GGEXP,TOT,PC_GDP,2015,51.131456040959606
AUT,GGEXP,TOT,PC_GDP,2016,50.1145187047591
AUT,GGEXP,TOT,PC_GDP,2017,49.107655213020706
AUT,GGEXP,TOT,PC_GDP,2018,48.6496477137835
BEL,GGEXP,TOT,PC_GDP,2001,49.3794803486032
BEL,GGEXP,TOT,PC_GDP,2002,49.9034787537982
BEL,GGEXP,TOT,PC_GDP,2003,51.047367676125404
BEL,GGEXP,TOT,PC_GDP,2004,49.318929976682796
BEL,GGEXP,TOT,PC_GDP,2005,51.8619354555706
BEL,GGEXP,TOT,PC_GDP,2006,48.78950273949221
BEL,GGEXP,TOT,PC_GDP,2007,48.5631029026634
BEL,GGEXP,TOT,PC_GDP,2008,50.775494956404295
BEL,GGEXP,TOT,PC_GDP,2009,54.6807137529988
BEL,GGEXP,TOT,PC_GDP,2010,53.8782139455268
BEL,GGEXP,TOT,PC_GDP,2011,55.30449682127029
BEL,GGEXP,TOT,PC_GDP,2012,56.47759938701321
BEL,GGEXP,TOT,PC_GDP,2013,56.1163968641824
BEL,GGEXP,TOT,PC_GDP,2014,55.5998921100646
BEL,GGEXP,TOT,PC_GDP,2015,53.7195459386506
BEL,GGEXP,TOT,PC_GDP,2016,53.103302932508896
BEL,GGEXP,TOT,PC_GDP,2017,51.909793982456996
BEL,GGEXP,TOT,PC_GDP,2018,52.11513292816011
CZE,GGEXP,TOT,PC_GDP,2001,43.2036799310363
CZE,GGEXP,TOT,PC_GDP,2002,44.8127715684856
CZE,GGEXP,TOT,PC_GDP,2003,49.34507123942579
CZE,GGEXP,TOT,PC_GDP,2004,42.5549332493917
CZE,GGEXP,TOT,PC_GDP,2005,42.2731138881649
CZE,GGEXP,TOT,PC_GDP,2006,41.3565482558348
CZE,GGEXP,TOT,PC_GDP,2007,40.3743167200374
CZE,GGEXP,TOT,PC_GDP,2008,40.6369645812982
CZE,GGEXP,TOT,PC_GDP,2009,44.199802107109
CZE,GGEXP,TOT,PC_GDP,2010,43.5143637898035
CZE,GGEXP,TOT,PC_GDP,2011,43.034740582906
CZE,GGEXP,TOT,PC_GDP,2012,44.4796833034805
CZE,GGEXP,TOT,PC_GDP,2013,42.602573662901705
CZE,GGEXP,TOT,PC_GDP,2014,42.4340179827989
CZE,GGEXP,TOT,PC_GDP,2015,41.6988791681418
CZE,GGEXP,TOT,PC_GDP,2016,39.4825702235114
CZE,GGEXP,TOT,PC_GDP,2017,38.9439274759984
CZE,GGEXP,TOT,PC_GDP,2018,40.690977985391704
DNK,GGEXP,TOT,PC_GDP,2001,52.837415026360105
DNK,GGEXP,TOT,PC_GDP,2002,53.214310273141606
DNK,GGEXP,TOT,PC_GDP,2003,53.6393481727568
DNK,GGEXP,TOT,PC_GDP,2004,52.997382276287496
DNK,GGEXP,TOT,PC_GDP,2005,51.2414950522489
DNK,GGEXP,TOT,PC_GDP,2006,49.8297467010108
DNK,GGEXP,TOT,PC_GDP,2007,49.5914157506511
DNK,GGEXP,TOT,PC_GDP,2008,50.4107781068508
DNK,GGEXP,TOT,PC_GDP,2009,56.5363201461658
DNK,GGEXP,TOT,PC_GDP,2010,56.6732282890732
DNK,GGEXP,TOT,PC_GDP,2011,56.4293235080565
DNK,GGEXP,TOT,PC_GDP,2012,57.95491787314779
DNK,GGEXP,TOT,PC_GDP,2013,55.820377245573795
DNK,GGEXP,TOT,PC_GDP,2014,55.2177130612339
DNK,GGEXP,TOT,PC_GDP,2015,54.527640900107
DNK,GGEXP,TOT,PC_GDP,2016,52.478635890772495
DNK,GGEXP,TOT,PC_GDP,2017,51.2399902570257
DNK,GGEXP,TOT,PC_GDP,2018,50.942714829238604
FIN,GGEXP,TOT,PC_GDP,2001,47.27715241861879
FIN,GGEXP,TOT,PC_GDP,2002,48.469889417184106
FIN,GGEXP,TOT,PC_GDP,2003,49.340028599859
FIN,GGEXP,TOT,PC_GDP,2004,49.1231937918089
FIN,GGEXP,TOT,PC_GDP,2005,49.019655467644704
FIN,GGEXP,TOT,PC_GDP,2006,48.0696599709654
FIN,GGEXP,TOT,PC_GDP,2007,46.569769928156006
FIN,GGEXP,TOT,PC_GDP,2008,47.8758397034978
FIN,GGEXP,TOT,PC_GDP,2009,54.091676891503
FIN,GGEXP,TOT,PC_GDP,2010,53.9068687115651
FIN,GGEXP,TOT,PC_GDP,2011,53.6576127031586
FIN,GGEXP,TOT,PC_GDP,2012,55.4405407959729
FIN,GGEXP,TOT,PC_GDP,2013,56.823331913998096
FIN,GGEXP,TOT,PC_GDP,2014,57.27680923358001
FIN,GGEXP,TOT,PC_GDP,2015,56.4917094401211
FIN,GGEXP,TOT,PC_GDP,2016,55.6160869445287
FIN,GGEXP,TOT,PC_GDP,2017,53.7199560743194
FIN,GGEXP,TOT,PC_GDP,2018,53.0784656739344
FRA,GGEXP,TOT,PC_GDP,2001,51.718372123261005
FRA,GGEXP,TOT,PC_GDP,2002,52.795168749279696
FRA,GGEXP,TOT,PC_GDP,2003,53.2705655235346
FRA,GGEXP,TOT,PC_GDP,2004,52.9849139006079
FRA,GGEXP,TOT,PC_GDP,2005,53.294089999178894
FRA,GGEXP,TOT,PC_GDP,2006,52.8757661035273
FRA,GGEXP,TOT,PC_GDP,2007,52.5654180574443
FRA,GGEXP,TOT,PC_GDP,2008,53.2963089370502
